date,actual_net_sales,sarimax_forecast,hybrid_forecast,actual_transactions_count,predicted_transactions_count,actual_average_ticket,predicted_average_ticket,actual_kpi_net_sales,predicted_kpi_net_sales,hybrid_forecast_error,hybrid_forecast_accuracy,transactions_error,average_ticket_error
2026-03-24,3552.85,3562.543715673464,3672.22366603563,53,49.71393776328557,67.03490566037736,74.95353293922514,3552.8500000000004,3726.2352716790137,119.37366603562987,96.64005893759574,3.2860622367144288,7.918627278847779
2026-03-25,3423.75,3395.7612352044152,3435.9421574251423,49,49.981402797538784,69.87244897959184,74.9823372750311,3423.75,3747.722402044236,12.19215742514234,99.64389463526419,0.9814027975387845,5.109888295439262
2026-03-26,5969.32,4295.797082688267,4621.506104410746,76,61.245792869504136,78.54368421052631,80.06255960321401,5969.32,4903.494942060775,1347.8138955892537,77.42098102314412,14.754207130495864,1.518875392687704
2026-03-27,7735.98,6679.28156418946,6878.568002145949,82,78.84446174357826,94.34121951219512,88.36580414517611,7735.98,6967.154264364868,857.4119978540502,88.91656909849753,3.1555382564217354,5.975415367019011
2026-03-28,10981.05,9307.47863380924,9706.903376108774,116,92.0789345699688,94.66422413793104,95.88085907341292,10981.05,8828.607349133186,1274.1466238912253,88.39685982769203,23.921065430031206,1.2166349354818777
2026-03-29,4150.01,4059.178504915568,4154.343658279184,47,53.21716721796744,88.29808510638298,87.41076629276876,4150.01,4651.753366452947,4.33365827918351,99.89557475092388,6.217167217967443,0.8873188136142289
2026-03-30,3966.12,3394.140599350173,3238.156540128836,54,46.3492107725177,73.44666666666666,79.16566157633362,3966.12,3669.265934347293,727.9634598711641,81.64545046869071,7.650789227482299,5.718994909666961
2026-03-31,3162.65,3803.567494024175,3714.013622068825,61,47.92733536036141,51.84672131147541,75.90928883353962,3162.65,3638.129942891591,551.363622068825,82.56640405771032,13.072664639638589,24.062567522064207
2026-04-01,2715.0,3509.374318048839,3577.4374005740565,32,50.41142350017551,84.84375,77.03587586815578,2715.0,3883.488163096552,862.4374005740565,68.23434988677508,18.41142350017551,7.8078741318442155
2026-04-02,4616.02,4373.37177334984,4431.7876155534495,58,63.9959145645384,79.58655172413793,77.84643908131483,4616.02,4981.854064601367,184.2323844465509,96.00884778561291,5.995914564538403,1.7401126428231066
